OBJECTID,ZIPCODE2,ZIPNAME,EXISTING,ZIPCODE1,Shape_Length,Shape_Area
151,02401921675,Wingate,MDPV2017_18,21675,38316.2259758768,15463491.1175215
152,02401921677,Woolford,MDPV2017_18,21677,62349.8015626905,54906027.0082119
153,02401921835,Linkwood,MDPV2017_18,21835,40861.8178074494,28880420.0552299
154,02401921869,Vienna,MDPV2017_18,21869,327118.900828236,406121117.098497
155,02402120842,Dickerson,MDPV2017_18,20842,47174.4917198344,60453131.405848
156,02402120871,Clarksburg,MDPV2017_18,20871,16782.9441503075,5907475.70554141
157,02402121701,Frederick,MDPV2017_18,21701,124707.233280968,166220063.607921
158,02402121702,Frederick,MDPV2017_18,21702,81937.8092077792,199573503.970243
159,02402121703,Frederick,MDPV2017_18,21703,77877.4772064973,147547106.235666
160,02402121704,Frederick,MDPV2017_18,21704,73667.4645657964,121005152.165768
161,02402121710,Adamstown,MDPV2017_18,21710,62715.8911821771,106353806.222484
162,02402121716,Brunswick,MDPV2017_18,21716,17990.6097135317,13085794.624868
163,02402121718,Burkittsville,MDPV2017_18,21718,8757.11013445988,2240431.79408076
164,02402121719,Cascade,MDPV2017_18,21719,8601.36705339491,1664478.0905146
165,02402121727,Emmitsburg,MDPV2017_18,21727,70675.75104384,144203673.491066
166,02402121754,Ijamsville,MDPV2017_18,21754,60130.263215298,98716830.6595021
167,02402121755,Jefferson,MDPV2017_18,21755,96976.8263893801,144443943.172329
168,02402121757,Keymar,MDPV2017_18,21757,45314.3939497863,72774054.9897211
169,02402121758,Knoxville,MDPV2017_18,21758,51929.4845358789,80583988.8730642
170,02402121769,Middletown,MDPV2017_18,21769,81922.4720439335,182426571.919145
171,02402121770,Monrovia,MDPV2017_18,21770,37795.0034253732,50227389.7379513
172,02402121771,Mount Airy,MDPV2017_18,21771,69787.4615752366,188174470.876287
173,02402121773,Myersville,MDPV2017_18,21773,65673.165965729,150143578.136967
174,02402121774,New Market,MDPV2017_18,21774,43189.3537988491,69962731.1827842
175,02402121776,New Windsor,MDPV2017_18,21776,32034.286374733,36802527.9282452
176,02402121777,Point of Rocks,MDPV2017_18,21777,18707.4504243392,11751927.4094517
177,02402121778,Rocky Ridge,MDPV2017_18,21778,42413.311985343,78507363.9359592
178,02402121780,Sabillasville,MDPV2017_18,21780,56415.7819281748,96400332.4263883
179,02402121783,Smithsburg,MDPV2017_18,21783,37510.5370202663,49583348.3396156
180,02402121787,Taneytown,MDPV2017_18,21787,37536.7912313523,32601971.4498846
181,02402121788,Thurmont,MDPV2017_18,21788,105162.728925928,276389857.346293
182,02402121790,Tuscarora,MDPV2017_18,21790,27282.3141327354,23138069.6312754
183,02402121791,Union Bridge,MDPV2017_18,21791,71417.7512856117,125943004.82519
184,02402121793,Walkersville,MDPV2017_18,21793,52120.2436885463,94007960.8695899
185,02402121798,Woodsboro,MDPV2017_18,21798,62407.7305836845,74934423.8687245
186,02402321520,Accident,MDPV2017_18,21520,140293.271166141,293706767.807753
187,02402321521,Barton,MDPV2017_18,21521,68306.8471107699,104925338.07796
188,02402321522,Bittinger,MDPV2017_18,21522,32304.7268236979,11929112.0287639
189,02402321523,Bloomington,MDPV2017_18,21523,10409.1719682169,5184983.07754079
190,02402321531,Friendsville,MDPV2017_18,21531,100443.688651126,289923410.062511
191,02402321532,Frostburg,MDPV2017_18,21532,101225.223476339,163250103.436762
192,02402321536,Grantsville,MDPV2017_18,21536,142482.543850579,396817544.826594
193,02402321538,Kitzmiller,MDPV2017_18,21538,42772.1654190859,85787918.7182152
194,02402321539,Lonaconing,MDPV2017_18,21539,65617.0585323468,115653880.702246
195,02402321541,McHenry,MDPV2017_18,21541,76659.1008939253,87136022.579022
196,02402321550,Oakland,MDPV2017_18,21550,172416.333600258,906600382.222706
197,02402321561,Swanton,MDPV2017_18,21561,134202.60603608,404353767.01149
198,02402321562,Westernport,MDPV2017_18,21562,30194.6702996949,33161137.7771691
199,02402521001,Aberdeen,MDPV2017_18,21001,82761.5014410499,132893570.657036
200,02402521005,Aberdeen Proving Ground,MDPV2017_18,21005,251572.273182757,189797090.004569
201,02402521009,Abingdon,MDPV2017_18,21009,41283.0858913168,47155419.9560121
202,02402521010,Gunpowder,MDPV2017_18,21010,108993.183326179,69426259.3569458
203,02402521013,Baldwin,MDPV2017_18,21013,24180.4364103069,18467987.8244094
204,02402521014,Bel Air,MDPV2017_18,21014,47036.2408556582,60598684.5132946
205,02402521015,Bel Air,MDPV2017_18,21015,90134.2191691824,140159688.081634
206,02402521017,Belcamp,MDPV2017_18,21017,17738.6479420423,10506022.1421114
207,02402521028,Churchville,MDPV2017_18,21028,37350.4155856834,57136681.5722318
208,02402521034,Darlington,MDPV2017_18,21034,71276.821413703,119464995.221734
209,02402521040,Edgewood,MDPV2017_18,21040,38713.9952959437,34891894.7986609
210,02402521047,Fallston,MDPV2017_18,21047,76845.832281008,101886228.888842
211,02402521050,Forest Hill,MDPV2017_18,21050,63308.5930171821,125119946.396143
212,02402521078,Havre De Grace,MDPV2017_18,21078,81543.7172773279,129079595.861416
213,02402521082,Hydes,MDPV2017_18,21082,4325.26675590383,732960.728942684
214,02402521084,Jarrettsville,MDPV2017_18,21084,69042.8557345168,111339282.782544
215,02402521085,Joppa,MDPV2017_18,21085,81758.608107454,78758268.8940995
216,02402521087,Kingsville,MDPV2017_18,21087,10854.7810310604,5160265.37797905
217,02402521111,Monkton,MDPV2017_18,21111,34455.4997560768,35124698.2568086
