"","Zip","July 2021","August 2021","September 2021","October 2021","November 2021","December 2021","January 2022","February 2020","March 2022","April 2022","May 2022","June 2022","July 2022","August 2022","September 2022","October 2022","November 2022","December 2022","January 2023","February 2023","March 2023","Zip_total"
"86","21078",3,2,10,14,12,9,9,16,10,14,14,18,15,23,21,22,22,19,22,19,14,203
"87","20878",4,7,10,19,8,8,18,15,16,12,13,14,15,15,20,15,23,25,21,22,25,201
"88","21801",2,4,5,7,10,14,7,17,22,18,15,11,15,25,19,19,20,13,28,21,28,201
"89","20782",3,5,7,13,9,10,15,12,15,18,23,17,13,17,13,23,16,13,22,17,21,195
"90","21015",1,3,12,7,12,12,9,11,7,17,13,13,19,21,21,17,22,23,17,23,18,193
"91","20886",8,4,12,17,7,12,11,12,16,24,12,16,8,18,14,16,17,25,22,30,17,189
"92","21742",0,12,13,8,16,9,11,10,11,15,14,18,15,17,15,24,14,19,34,19,15,183
"93","21901",4,7,15,13,11,12,13,10,12,15,11,17,13,17,21,18,16,20,26,19,11,183
"94","21075",2,1,3,7,11,14,9,13,4,21,14,18,16,21,13,18,14,18,23,19,21,179
"95","21771",3,8,10,9,11,2,17,12,16,25,6,12,12,17,13,12,13,21,19,17,24,176
"96","20724",5,2,8,9,8,2,8,8,13,17,13,10,16,19,18,20,13,17,18,22,26,172
"97","21403",3,8,13,16,7,13,16,12,10,19,13,8,15,10,17,18,13,17,14,11,13,168
"98","20871",3,5,3,5,8,2,7,8,14,12,15,13,12,17,14,14,21,18,20,15,24,165
"99","20877",1,2,5,5,3,7,10,9,8,15,16,8,12,16,17,17,14,20,21,13,8,162
"100","21401",2,5,15,9,3,7,7,7,16,16,10,11,14,15,12,17,14,23,13,12,16,162
"101","20678",3,5,8,7,12,8,11,4,11,12,11,11,14,16,15,22,11,22,22,16,17,160
"102","20770",0,2,8,18,9,7,9,8,12,15,10,13,17,19,14,9,19,15,18,22,20,160
"103","21158",1,1,6,11,12,9,11,11,15,17,8,11,21,12,18,13,11,12,13,12,13,160
"104","20901",3,3,4,12,7,9,14,9,11,16,18,11,9,12,17,8,9,19,11,15,17,153
"105","21074",1,2,4,6,7,12,7,8,10,14,12,13,16,13,13,18,14,15,19,12,16,153
"106","21811",2,6,4,12,3,7,8,8,12,19,12,11,12,22,11,10,13,11,19,13,15,149
"107","21842",12,4,7,18,7,8,7,11,10,13,13,10,8,13,22,19,9,14,20,7,14,149
"108","20708",3,2,5,3,5,3,10,4,9,16,12,11,12,18,15,16,12,12,16,17,19,147
"109","21629",3,3,7,13,15,9,13,9,14,14,12,9,14,20,7,9,10,15,18,14,6,146
"110","21114",1,1,11,7,9,8,8,4,7,8,15,9,13,16,21,17,9,17,18,15,22,144
"111","21076",2,1,4,9,10,4,10,11,6,8,9,10,14,14,10,24,15,10,23,28,12,141
"112","21666",0,7,4,8,11,9,9,11,8,13,8,13,8,19,14,13,6,19,16,12,17,141
"113","20853",5,6,5,14,6,8,8,6,7,10,4,12,10,21,8,19,16,16,17,14,15,137
"114","20876",4,2,12,11,10,8,11,11,8,11,12,18,9,15,12,10,8,12,17,16,17,137
"115","21613",2,6,6,9,6,3,2,10,11,9,8,16,14,9,14,9,16,17,12,13,19,135
"116","21774",1,5,5,11,8,4,7,10,12,10,9,13,12,10,8,13,13,15,21,12,9,132
"117","21601",3,3,9,5,13,5,9,8,7,11,6,18,9,7,9,10,11,19,14,10,15,124
"118","21702",0,5,7,13,4,1,4,8,8,11,7,8,17,17,9,11,6,18,23,20,12,124
"119","21911",1,3,9,7,6,7,16,11,12,11,3,13,6,11,11,9,10,10,9,12,8,123
"120","20639",1,2,7,8,5,3,12,6,9,9,7,14,11,10,13,7,12,12,16,10,9,122
"121","21209",3,4,10,5,6,6,9,9,10,14,11,7,10,16,8,11,5,11,8,12,4,121
"122","21043",1,5,4,8,8,4,9,9,7,13,9,8,6,13,11,13,6,16,6,10,13,120
