Zip,July 2021,August 2021,September 2021,October 2021,November 2021,December 2021,January 2022,February 2022,March 2022,April 2022,May 2022,June 2022,July 2022,August 2022,September 2022,October 2022,November 2022,December 2022,January 2023,February 2023,March 2023,zip_2022_total,zip_overall_total,OBJECTID,ZIPCODE2,ZIPNAME,EXISTING,Shape_Length,Shape_Area
21076,2,1,4,9,10,4,10,11,6,8,9,10,14,14,10,24,15,10,23,28,12,141,234,359,02402721076,Hanover,MDPV_2017_18,14617.4577074032,6315779.23983048
21076,2,1,4,9,10,4,10,11,6,8,9,10,14,14,10,24,15,10,23,28,12,141,234,530,02400321076,Hanover,MDPV_2017_18,6809.74251491102,1551741.25120998
21076,2,1,4,9,10,4,10,11,6,8,9,10,14,14,10,24,15,10,23,28,12,141,234,531,02400321076,Hanover,MDPV_2017_18,62893.1536640235,50048918.7923388
21629,3,3,7,13,15,9,13,9,14,14,12,9,14,20,7,9,10,15,18,14,6,146,234,81,02401121629,Denton,MDPV2017_18,207702.186306043,359673177.369512
21074,1,2,4,6,7,12,7,8,10,14,12,13,16,13,13,18,14,15,19,12,16,153,232,20,02400521074,Hampstead,MDPV2017_18,34277.9751033427,38848952.4558421
21074,1,2,4,6,7,12,7,8,10,14,12,13,16,13,13,18,14,15,19,12,16,153,232,91,02401321074,Hampstead,MDPV2017_18,82846.341479791,125462543.955601
21811,2,6,4,12,3,7,8,8,12,19,12,11,12,22,11,10,13,11,19,13,15,149,230,302,02404721811,Berlin,MDPV2017_18,384937.714121183,409976059.82052
20853,5,6,5,14,6,8,8,6,7,10,4,12,10,21,8,19,16,16,17,14,15,137,227,416,02403120853,Rockville,MDPV_2017_18,40437.4702549196,38123367.149572
20877,1,2,5,5,3,7,10,9,8,15,16,8,12,16,17,17,14,20,21,13,8,162,227,414,02403120877,Gaithersburg,MDPV_2017_18,36905.1085509721,26318511.2495511
21666,0,7,4,8,11,9,9,11,8,13,8,13,8,19,14,13,6,19,16,12,17,141,225,243,02403521666,Stevensville,MDPV2017_18,165306.090803278,93386584.1639335
