"","Zip","July 2021","August 2021","September 2021","October 2021","November 2021","December 2021","January 2022","February 2020","March 2022","April 2022","May 2022","June 2022","July 2022","August 2022","September 2022","October 2022","November 2022","December 2022","January 2023","February 2023","March 2023"
"195","20956",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"196","20967",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"197","21000",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"198","21001",3,6,13,19,19,23,16,18,23,37,22,26,25,32,30,34,40,31,46,49,28
"199","21005",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"200","21009",3,5,14,15,21,14,25,19,15,33,26,24,21,24,30,40,38,37,45,45,46
"201","21010",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"202","21012",0,2,2,11,4,9,6,10,7,7,12,13,7,11,16,7,8,10,23,16,20
"203","21013",0,0,0,1,0,0,0,0,1,0,2,1,0,0,0,2,0,1,1,1,2
"204","21014",3,4,6,10,15,6,13,8,15,22,16,20,15,24,14,32,16,22,25,27,33
"205","21015",1,3,12,7,12,12,9,11,7,17,13,13,19,21,21,17,22,23,17,23,18
"206","21016",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"207","21017",0,2,7,3,4,4,5,5,2,11,9,8,4,7,7,8,6,7,6,11,6
"208","21025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"209","21028",0,2,0,1,2,0,2,1,0,0,0,2,1,1,1,2,2,3,4,0,2
"210","21029",0,1,2,4,3,0,2,2,2,0,1,3,0,5,1,2,1,0,3,5,2
"211","21030",0,3,4,5,3,6,2,3,6,8,7,4,8,6,10,11,2,6,6,7,11
"212","21031",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"213","21032",1,1,2,4,1,3,1,2,5,3,3,4,3,5,6,6,6,5,3,1,8
"214","21034",0,0,0,1,3,2,4,0,5,6,2,0,1,4,3,2,3,0,0,4,8
"215","21035",0,1,3,1,0,2,5,2,0,3,3,2,3,4,3,3,3,3,1,1,8
"216","21036",0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,2,1,0,0
"217","21037",0,1,10,9,5,3,8,6,9,9,6,7,12,13,11,14,12,9,20,17,17
"218","21040",4,6,21,22,17,19,28,30,25,34,30,40,34,46,35,37,29,51,43,42,43
"219","21042",1,5,3,7,2,7,8,6,9,4,7,6,8,10,11,11,10,4,12,10,5
"220","21043",1,5,4,8,8,4,9,9,7,13,9,8,6,13,11,13,6,16,6,10,13
"221","21044",2,9,14,14,14,14,11,13,18,33,33,27,13,20,18,23,20,22,24,21,25
"222","21045",5,8,23,13,14,11,14,14,18,24,20,24,18,26,26,20,25,26,29,28,27
